#voltage[V] current[uA] LCR_freq[Hz] CP D CPerror Derror 
19.7 0.0220 3162 1.80479E-11 2.88032E-2 2.30830E-14 6.83876E-3
19.7 0.0250 10000 1.75919E-11 6.79741E-3 1.99664E-14 1.51266E-3
19.7 0.0220 31623 1.75720E-11 1.08311E-2 1.11113E-14 6.83844E-4
19.7 0.0230 100000 1.73583E-11 2.33544E-2 1.88733E-15 1.19000E-4
19.7 0.0250 316228 1.74635E-11 5.19197E-2 2.06142E-14 1.11370E-3
19.7 0.0240 1E6 1.87415E-11 1.35604E-1 9.92446E-15 4.13343E-4
20.3 0.0240 1000 1.80713E-11 1.00111E-1 3.60669E-14 1.98802E-3
20.3 0.0250 3162 1.78312E-11 3.11453E-2 2.67447E-14 6.07922E-3
20.3 0.0260 10000 1.74656E-11 1.22298E-2 1.47740E-14 1.13846E-3
20.3 0.0240 31623 1.73540E-11 1.10324E-2 1.29869E-14 7.40800E-4
20.3 0.0240 100000 1.71331E-11 2.35115E-2 2.94009E-15 1.15203E-4
20.3 0.0250 316228 1.72447E-11 5.22803E-2 1.96505E-14 1.36946E-3
20.3 0.0260 1E6 1.85037E-11 1.36200E-1 9.40934E-15 4.03543E-4
21.0 0.0260 1000 1.78518E-11 1.01143E-1 2.14352E-14 1.94443E-3
21.0 0.0240 3162 1.73310E-11 1.54257E-2 3.35941E-14 5.61366E-3
21.0 0.0250 10000 1.70644E-11 1.22517E-2 1.29252E-14 1.13862E-3
21.0 0.0280 31623 1.71425E-11 1.10775E-2 1.05934E-14 8.40183E-4
21.0 0.0260 100000 1.69245E-11 2.36696E-2 2.42942E-15 1.10731E-4
21.0 0.0250 316228 1.70353E-11 5.32656E-2 1.65201E-14 9.13731E-4
21.0 0.0260 1E6 1.82698E-11 1.36837E-1 7.78457E-15 4.00402E-4
21.7 0.0240 1000 1.76734E-11 1.04799E-1 7.31174E-15 9.78783E-5
21.7 0.0250 3162 1.73968E-11 3.30297E-2 2.89736E-14 6.69621E-3
21.7 0.0250 10000 1.68837E-11 1.65412E-2 4.70040E-14 1.97991E-3
21.7 0.0270 31623 1.69279E-11 1.13758E-2 1.21107E-14 5.74484E-4
21.7 0.0250 100000 1.67021E-11 2.33136E-2 2.28298E-15 1.06385E-4
21.7 0.0270 316228 1.68153E-11 4.94566E-2 2.19262E-14 8.12913E-4
21.7 0.0280 1E6 1.80879E-11 1.26542E-1 1.04545E-14 5.79633E-4
22.4 0.0270 1000 1.74977E-11 1.02518E-1 3.61856E-14 2.05000E-3
22.4 0.0260 3162 1.71878E-11 2.36926E-2 2.40815E-14 7.49252E-3
22.4 0.0290 10000 1.66563E-11 1.43965E-2 2.16581E-14 2.56653E-3
22.4 0.0270 31623 1.67227E-11 1.10947E-2 1.24531E-14 3.75379E-4
22.4 0.0270 100000 1.64990E-11 2.23261E-2 3.63771E-15 7.61016E-5
22.4 0.0270 316228 1.66067E-11 4.85105E-2 1.20288E-14 1.04838E-3
22.5 0.0270 1E6 1.78742E-11 1.22826E-1 9.00683E-15 3.93149E-4
23.2 0.0280 1000 1.73189E-11 1.04034E-1 2.85709E-14 1.89252E-3
23.2 0.0270 3162 1.64887E-11 2.38724E-2 5.48461E-14 1.04748E-2
23.2 0.0270 10000 1.66120E-11 1.41223E-2 2.40607E-14 1.79569E-3
23.2 0.0280 31623 1.65162E-11 1.07004E-2 7.52426E-15 6.59934E-4
23.2 0.0260 100000 1.62988E-11 2.20345E-2 3.05616E-15 1.49192E-4
23.2 0.0260 316228 1.64094E-11 4.68560E-2 1.46284E-14 1.07631E-3
23.2 0.0260 1E6 1.76642E-11 1.20307E-1 6.08904E-15 4.10646E-4
23.9 0.0290 1000 1.71431E-11 1.05656E-1 3.20630E-14 1.83528E-3
24.0 0.0290 3162 1.65355E-11 4.56523E-2 1.25982E-13 7.14434E-3
24.0 0.0270 10000 1.63106E-11 7.66708E-3 4.44586E-14 1.36588E-3
24.0 0.0280 31623 1.63114E-11 1.08691E-2 1.09686E-14 9.09479E-4
23.9 0.0260 100000 1.64319E-11 2.50023E-2 2.69164E-15 1.21330E-4
23.9 0.0270 316228 1.62027E-11 4.54466E-2 1.79000E-14 8.57400E-4
24.0 0.0280 1E6 1.74556E-11 1.18236E-1 8.76350E-15 4.22037E-4
24.8 0.0310 1000 1.69611E-11 1.05294E-1 3.35964E-14 1.93542E-3
24.7 0.0300 3162 1.60941E-11 3.93065E-2 5.23004E-14 7.79200E-3
24.8 0.0290 10000 1.61440E-11 8.48653E-3 2.20958E-14 1.58586E-3
24.8 0.0290 31623 1.61092E-11 1.08564E-2 1.02911E-14 6.44260E-4
24.7 0.0290 100000 1.62281E-11 2.49395E-2 2.53063E-15 1.25522E-4
24.8 0.0290 316228 1.60164E-11 4.63930E-2 7.86641E-15 1.01995E-3
24.8 0.0290 1E6 1.72276E-11 1.20626E-1 9.41775E-15 3.35168E-4
25.6 0.0270 1000 1.67408E-11 1.05077E-1 6.17900E-15 3.33098E-4
25.6 0.0290 3162 1.63127E-11 4.52786E-2 1.49787E-14 8.58962E-3
25.6 0.0310 10000 1.59903E-11 1.70326E-2 2.09865E-14 1.48527E-3
25.6 0.0280 31623 1.59072E-11 1.11489E-2 1.56230E-14 6.23642E-4
25.6 0.0300 100000 1.60295E-11 2.48856E-2 3.24440E-15 1.44547E-4
25.6 0.0300 316228 1.58210E-11 4.74573E-2 1.54861E-14 9.22722E-4
25.6 0.0290 1E6 1.69998E-11 1.23802E-1 6.32025E-15 4.02806E-4
26.4 0.0310 1000 1.66059E-11 1.07528E-1 2.98910E-14 2.12534E-3
26.4 0.0310 3162 1.57306E-11 4.24015E-2 6.64406E-14 7.98996E-3
26.4 0.0310 10000 1.58038E-11 1.05644E-2 2.53308E-14 2.28349E-3
